Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC,weeknum
Maya Hernandez,#55,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,30,1,7,8,1,0,1,2,2,5,9,0,0,1,2,0.556,11,26.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,36,0,4,4,4,3,1,4,4,5,11,4,7,1,2,0.636,15,42.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,29,2,6,8,1,1,0,2,3,2,8,0,1,1,2,0.25,5,11.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,39,0,6,6,4,0,0,7,1,3,10,1,7,0,2,0.35,7,0.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,29,0,2,2,4,2,0,3,1,3,5,1,3,5,5,0.7,12,32.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,21,2,0,2,3,0,0,4,2,3,3,0,0,2,2,1.0,8,16.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,11,1,1,2,0,0,0,2,3,1,4,0,0,0,0,0.25,2,-2.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,,0,-5.0,True,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,34,5,5,10,3,4,3,2,1,11,19,0,1,3,4,0.579,25,78.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,25,0,0,0,1,2,0,3,4,2,4,2,3,0,0,0.75,6,14.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,29,2,4,6,2,1,0,0,4,2,8,1,3,3,4,0.312,8,22.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,35,2,2,4,6,1,0,0,2,1,6,0,2,3,5,0.167,5,26.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,31,2,3,5,3,1,0,1,3,3,7,1,2,1,1,0.5,8,27.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,15,0,2,2,2,0,0,2,2,1,6,0,1,0,0,0.167,2,2.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,12,1,2,3,1,0,0,1,1,2,4,0,0,0,0,0.5,4,10.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,19,0,0,0,0,1,0,1,4,2,4,2,4,0,0,0.75,6,11.0,True,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,28,1,0,1,2,1,0,3,3,7,14,0,1,2,6,0.5,16,22.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,34,0,3,3,5,1,0,7,1,5,8,2,3,0,0,0.75,12,25.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,29,1,3,4,0,3,0,1,3,3,6,0,0,1,2,0.5,7,22.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,36,0,4,4,3,0,0,3,0,4,9,3,7,1,1,0.611,12,22.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,35,2,2,4,0,2,0,1,1,0,6,0,4,1,2,0.0,1,-1.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,17,1,2,3,0,0,0,0,0,2,4,0,0,0,0,0.5,4,9.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,11,1,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,1.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,10,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0.0,0,-3.0,True,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,28,3,2,5,1,0,1,4,5,5,14,0,0,2,2,0.357,12,16.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,34,0,2,2,2,0,0,1,4,2,8,1,5,0,0,0.312,5,6.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,29,3,3,6,2,2,0,0,3,5,9,0,1,5,6,0.556,15,40.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,38,0,4,4,2,4,0,1,1,3,11,2,5,1,2,0.364,9,28.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,16,1,2,3,0,1,0,0,4,1,4,1,3,1,3,0.375,4,8.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,22,0,3,3,0,0,0,0,2,2,4,1,2,1,4,0.625,6,9.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,9,0,2,2,0,0,0,0,2,0,0,0,0,0,0,,0,2.0,True,0.0
Lova Lagerlid,#10,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,15,2,3,5,0,0,0,0,0,0,3,0,2,0,2,0.0,0,-2.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,9,1,0,1,1,0,0,0,1,0,2,0,2,0,0,0.0,0,0.0,True,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,33,4,1,5,1,3,0,3,4,7,13,0,1,3,4,0.538,17,36.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,35,0,1,1,3,0,0,3,2,1,9,1,7,2,5,0.167,5,-4.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,31,1,8,9,3,3,0,1,2,7,13,1,3,8,12,0.577,23,58.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,38,0,4,4,1,1,0,2,2,3,12,1,5,3,3,0.292,10,12.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,35,1,4,5,1,3,0,3,2,2,5,1,3,9,9,0.5,14,31.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,7,1,0,1,0,1,0,0,2,1,1,0,0,0,0,1.0,2,10.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,10,0,0,0,1,0,0,1,3,0,0,0,0,0,0,,0,2.0,True,0.0
Lova Lagerlid,#10,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Idaho State Bengals,1,11/23/25,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1.0,True,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,25,2,6,8,3,1,1,4,4,5,12,0,0,0,0,0.417,10,28.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,29,0,2,2,1,1,0,6,1,1,2,0,0,0,0,0.5,2,-2.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,29,3,4,7,3,1,0,2,2,7,11,0,0,10,11,0.636,24,54.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,36,0,3,3,1,1,0,3,3,4,5,3,4,3,4,1.1,14,28.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,29,1,2,3,1,0,0,0,0,5,10,3,5,2,2,0.65,15,30.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,15,0,2,2,2,1,0,0,1,1,6,0,1,0,0,0.167,2,10.0,True,0.0
Ana Milanovic,#7,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,11,1,2,3,1,1,0,1,0,0,2,0,1,3,4,0.0,3,8.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,19,2,1,3,0,0,0,1,0,1,4,0,0,1,2,0.25,3,3.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,7,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0.0,0,2.0,True,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,24,1,2,3,1,1,0,4,3,6,8,0,0,3,6,0.75,15,24.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,35,0,2,2,1,1,0,3,2,3,3,1,1,0,0,1.167,7,16.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,28,5,8,13,4,4,0,1,2,4,14,0,3,5,10,0.286,13,43.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,37,0,3,3,4,2,0,1,0,4,10,2,4,0,2,0.5,10,32.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,32,5,1,6,3,0,0,1,2,0,7,0,2,1,2,0.0,1,5.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,5,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1.0,2,8.0,True,0.0
Ana Milanovic,#7,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,6,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0.0,0,-2.0,True,0.0
Paula Reus Piza,#30,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,14,3,0,3,2,1,0,2,1,2,6,0,0,3,4,0.333,7,16.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,19,2,3,5,1,2,0,2,2,4,5,0,0,0,0,0.8,8,26.0,True,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,27,1,4,5,1,2,2,1,4,4,16,0,0,2,3,0.25,10,26.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,26,1,2,3,2,0,0,3,2,0,2,0,0,0,0,0.0,0,0.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,31,6,6,12,2,2,0,1,3,11,24,1,2,4,5,0.479,27,60.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,15,0,1,1,0,1,0,0,1,0,3,0,3,0,0,0.0,0,-2.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,34,1,2,3,0,1,0,0,0,4,11,0,4,1,2,0.364,9,12.0,True,0.0
